method,regime,coverage,avg_width,median_neff,avg_drift
DASC_no_drift_gate,recurring_A,0.8995652173913044,2.125089370258933,274.31717938313176,0.19404347333894253
DASC_no_drift_gate,recurring_B,0.9015555555555556,2.081977004678566,318.1178328925484,0.20313355191885085
DASC_no_drift_gate,drift_after_shift,0.8962,3.5592596548180166,302.686644270262,0.21081318275353447
adaptive_only,recurring_A,0.8995652173913044,2.0969579579873456,180.0,
adaptive_only,recurring_B,0.9022222222222223,2.085743857975787,180.0,
adaptive_only,drift_after_shift,0.8958,3.6200853543732037,180.0,
full_DASC,recurring_A,0.8991304347826087,2.1139165129315147,206.08768448756047,0.19404347333894253
full_DASC,recurring_B,0.9015555555555556,2.0961670479397494,205.0767554912303,0.20313355191885085
full_DASC,drift_after_shift,0.8978,3.635009210947412,193.85322796004024,0.21081318275353447
rolling,recurring_A,0.9043478260869565,2.121119990855304,180.0,
rolling,recurring_B,0.9044444444444444,2.0845560737695923,180.0,
rolling,drift_after_shift,0.8622,3.2728764823035306,180.0,
spectral_only,recurring_A,0.9,2.0824813259918447,274.31717938313176,
spectral_only,recurring_B,0.9028888888888889,2.06717727530693,318.1178328925484,
spectral_only,drift_after_shift,0.8298,3.0357054187966592,302.686644270262,
