h,drift_lambda,m_min,stability_relax,empirical_miscoverage,empirical_coverage,avg_width,median_neff,avg_drift,score
0.35,0.45,80,0.0,0.10033898305084746,0.8996610169491526,2.7742957567425774,132.83942286296417,0.19658791116757932,2.786160163522238
0.45,0.45,80,0.0,0.10067796610169491,0.8993220338983051,2.7652363397657838,176.2948161007569,0.1987120618662496,2.7889651533251056
0.35,0.7,40,0.0,0.10067796610169491,0.8993220338983051,2.77291886348148,151.038166306964,0.19658791116757932,2.7966476770408013
0.35,0.45,40,0.0,0.10050847457627118,0.8994915254237288,2.779282692734601,123.01310890053446,0.19658791116757932,2.7970793029040943
0.35,0.7,80,0.0,0.10067796610169491,0.8993220338983051,2.77616082582225,156.87951965678099,0.19658791116757932,2.799889639381572
0.55,0.7,40,0.0,0.10101694915254238,0.8989830508474577,2.7662425027669832,226.723327514292,0.20531407123233855,2.801835723105966
0.35,0.45,80,0.01,0.10101694915254238,0.8989830508474577,2.7671421218392074,132.83942286296417,0.19658791116757932,2.80273534217819
0.45,0.7,40,0.0,0.10084745762711865,0.8991525423728813,2.773626678040933,199.8411469557956,0.1987120618662496,2.803287694990087
0.35,0.45,40,0.01,0.10101694915254238,0.8989830508474577,2.7689494791422082,123.01310890053446,0.19658791116757932,2.804542699481191
0.45,0.45,40,0.0,0.10084745762711865,0.8991525423728813,2.775545548156328,164.10172835315433,0.1987120618662496,2.805206565105482
0.35,0.7,80,0.01,0.10135593220338983,0.8986440677966102,2.7613735709523524,156.87951965678099,0.19658791116757932,2.8088311980709957
0.55,0.45,40,0.0,0.10084745762711865,0.8991525423728813,2.781490592739109,185.09125882044236,0.20531407123233855,2.811151609688263
0.35,0.45,40,0.02,0.10135593220338983,0.8986440677966102,2.764482616993952,123.01310890053446,0.19658791116757932,2.8119402441125954
0.35,0.7,40,0.01,0.1011864406779661,0.8988135593220339,2.770764185527128,151.038166306964,0.19658791116757932,2.812289609255943
0.45,0.45,80,0.01,0.10135593220338983,0.8986440677966102,2.7687678589022,176.2948161007569,0.1987120618662496,2.8162254860208433
0.55,0.45,80,0.01,0.10135593220338983,0.8986440677966102,2.7710956713662336,199.97179727008034,0.20531407123233855,2.818553298484877
0.45,0.45,40,0.01,0.10152542372881355,0.8984745762711864,2.7655920268221257,164.10172835315433,0.1987120618662496,2.818981857330601
0.35,0.7,80,0.02,0.10220338983050847,0.8977966101694915,2.7433061639991987,156.87951965678099,0.19658791116757932,2.820424808066996
0.35,0.45,80,0.02,0.1016949152542373,0.8983050847457628,2.762859496435938,132.83942286296417,0.19658791116757932,2.822181530334242
0.35,0.7,40,0.02,0.10203389830508475,0.8979661016949152,2.751066622697059,151.038166306964,0.19658791116757932,2.822253063375028
0.55,0.7,80,0.0,0.10135593220338983,0.8986440677966102,2.77789353805546,235.83955277661343,0.20531407123233855,2.8253511651741032
0.45,0.7,80,0.0,0.10135593220338983,0.8986440677966102,2.7794787940753176,208.04646397798422,0.1987120618662496,2.826936421193961
0.45,0.7,40,0.01,0.10186440677966102,0.898135593220339,2.7629450449982884,199.8411469557956,0.1987120618662496,2.828199282286425
0.35,0.45,80,0.03,0.10186440677966102,0.898135593220339,2.7631405223154633,132.83942286296417,0.19658791116757932,2.8283947596036
0.35,0.45,40,0.03,0.10203389830508475,0.8979661016949152,2.758327699572451,123.01310890053446,0.19658791116757932,2.82951414025042
0.55,0.45,80,0.0,0.10101694915254238,0.8989830508474577,2.794057772754392,199.97179727008034,0.20531407123233855,2.8296509930933746
0.55,0.45,40,0.01,0.1016949152542373,0.8983050847457628,2.7739180000500356,185.09125882044236,0.20531407123233855,2.8332400339483397
0.45,0.7,80,0.01,0.10203389830508475,0.8979661016949152,2.7628834989300923,208.04646397798422,0.1987120618662496,2.834069939608061
0.45,0.45,40,0.02,0.10203389830508475,0.8979661016949152,2.7629366888812137,164.10172835315433,0.1987120618662496,2.8341231295591824
0.55,0.45,40,0.02,0.10203389830508475,0.8979661016949152,2.770708750268982,185.09125882044236,0.20531407123233855,2.8418951909469508
0.35,0.7,80,0.03,0.10288135593220339,0.8971186440677966,2.741051416850737,156.87951965678099,0.19658791116757932,2.841898874477856
0.35,0.7,40,0.03,0.10305084745762712,0.8969491525423728,2.7361903607073357,151.038166306964,0.19658791116757932,2.842970021724287
0.55,0.45,80,0.02,0.1023728813559322,0.8976271186440679,2.7606245870969586,199.97179727008034,0.20531407123233855,2.8436754345545845
0.45,0.45,80,0.02,0.10220338983050847,0.8977966101694915,2.7669497930111904,176.2948161007569,0.1987120618662496,2.8440684370789877
0.55,0.7,40,0.01,0.1023728813559322,0.8976271186440679,2.762936876934424,226.723327514292,0.20531407123233855,2.84598772439205
0.45,0.45,80,0.03,0.10271186440677967,0.8972881355932203,2.7524335574940637,176.2948161007569,0.1987120618662496,2.8473488117313543
0.45,0.45,40,0.03,0.10271186440677967,0.8972881355932203,2.755808485507162,164.10172835315433,0.1987120618662496,2.8507237397444527
0.45,0.7,40,0.02,0.10305084745762712,0.8969491525423728,2.749053051177041,199.8411469557956,0.1987120618662496,2.855832712193992
